"Model","Hull type","Category","Sailboat builder","Sailboat designer","Country","Construction","First built hull","Last built hull","Appendages","Helm","Rudder","Unsinkable","Trailerable","EC design category","Standard public price ex. VAT (indicative only)","Hull length","Beam (width)","Draft","Light displacement (MLC)","Upwind sail area","Downwind sail area","Mainsail area","Genoa area","Asymmetric spinnaker area","Rigging type","Mast configuration","Rotating spars","Number of levels of spreaders","Spreaders angle","Spars construction","Upwind sail area to displacement","Downwind sail area to displacement","Engine(s)","Engine(s) power","Fuel type","Cockpit","Cabin(s) (min./max.)","Berth(s) (min./max.)","Head(s)","Version","Waterline length","Ballast weight","Ballast type","Symmetric spinnaker area","I","J","P","E","HN (French rating)","Displacement-length ratio (DLR)","Ballast ratio","Critical hull speed","Fuel tank capacity","Berth(s)","Freshwater tank capacity","Maximum headroom","Draft when appendages up","Overall length","Cabin(s)","Fridge/ice-box capacity","Head headroom","Berth length","Berth width","Mast height from DWL","Standing rigging","Engine(s) power (min./max.)","Galley headroom","Saloon table length","Saloon table width (min./max.)","Chart table","Berth width (head/elbows/knees/feet)","French customs tonnage","Holding tank capacity","Sailboat collection","Number of hulls built","Jib area","Solent area","IOR rating","Waterline beam (width)","Staysail area","Righting moment @ 1°","Righting moment @ 30°","Award(s)","Head(s) (min./max.)","Boiler capacity","Former French navigation category","Saloon table width","Maximum displacement (MLDC)","Capacity","Mizzen sail area","Gennaker area","Code 0 area","Code 5 area","Fore freeboard","Mid-ship freeboard","Wetted area","Maximum transverse section","Stormjib area","Saloon width (min./max.)","Berth width (head/feet)","Folding type","Overall width folded","Overall length folded","Sailboat range","Running backstays","Yankee area","Crew","D-PN rating","Maximum righting moment","PY (Portsmouth Yardstick) rating","Water ballast","Water ballast capacity","Trapezes","Saloon width","Mizzen staysail area","Prismatic coefficient","source"
"Nauticat 42","Monohull","Offshore deck saloon motorsailer","Nauticat Yachts & Siltala Yachts","Kaj Gustafsson","Finland","GRP (glass reinforced polyester): Single skin  fiberglass polyester","1995","2018","Keel : fin with bulb","Twin helm wheels","Single semi-spade rudder","No","No","A","About 446 000 € (2017)","42’ 8”13 m","13’ 1”4 m","6’ 5”1.95 m","35274 lb16000 kg","1049 ft²97.5 m²","1835 ft²170.5 m²","425 ft²39.5 m²","624 ft²58 m²","1410 ft²131 m²","Sloop Marconi masthead","Keel stepped mast","No","2","0 °","Aluminum spars","165 ft²/T15.36 m²/T","289 ft²/T26.85 m²/T","1 inboard engine","110 HP","Diesel","Raised aft cockpit","2  / 3","5  / 7","","Sloop","34’10.35 m","10141 lb4600 kg","Lead","","","","","","","409","29 %","7.81 knots","184.9 gal700 liters","","184.9 gal700 liters","6’ 4”1.92 m","","","","26.4 gal100 liters","","","","65’ 7”20 m","1x19 strand wire","","","","","","","23.40 Tx","23.8 gal90 liters","","About 200","347 ft²32.2 m²","","","","","","","","4  / 9","","","","","","","","","","5’ 5”1.65 m","4’ 8”1.42 m","","","115 ft²10.7 m²","","","","","","Nauticat","","","","","","","","","","","","","https://www.boat-specs.com/"
"Nauticat 441","Monohull","Offshore motorsailer","Nauticat Yachts","Siltala Design Office","Finland","GRP (glass reinforced polyester): Single skin  fiberglass polyester","2008","2018","Keel : swing keel","Twin helm wheels","Single rudder on skeg","No","No","A","About 463 000 € (2017)","44’ 10”13.65 m","12’ 4”3.75 m","6’ 2”1.9 m","36376 lb16500 kg","1130 ft²105 m²","1816 ft²168.7 m²","348 ft²32.3 m²","638 ft²59.3 m²","","Ketch Marconi masthead","Deck stepped mast","No","2","0 °","Aluminum spars","174 ft²/T16.2 m²/T","280 ft²/T26.03 m²/T","1 inboard engine","","Diesel","Raised aft cockpit","2  / 3","4  / 6","2","","36’ 11”11.25 m","12125 lb5500 kg","","1324 ft²123 m²","","","","","","328","33 %","8.14 knots","221.9 gal840 liters","","163.8 gal620 liters","6’ 4”1.93 m","","48’ 6”14.79 m","","","","","","57’ 5”17.5 m","1x19 strand wire","140 HP / 160 HP","","","","","","","23.8 gal90 liters","","","203 ft²18.9 m²","435 ft²40.4 m²","","","","","","","","","","","","","144 ft²13.4 m²","","","","5’ 7”1.7 m","5’ 1”1.55 m","","","145 ft²13.5 m²","","","","","","Nauticat","","","","","","","","","","","","","https://www.boat-specs.com/"
"Nauticat 515","Monohull","Offshore cruising sailboat","Nauticat Yachts","Kaj Gustafsson","Finland","Hull and deck: GRP (glass reinforced polyester)","1997","2018","Keel : fin without bulb","Twin helm wheels","Single semi-spade rudder","No","No","A","About 820 000 € (2017)","50’ 7”15.42 m","15’ 1”4.6 m","7’ 2”2.2 m","52911 lb24000 kg","1482 ft²137.7 m²","2878 ft²267.4 m²","636 ft²59.1 m²","846 ft²78.6 m²","","Sloop Marconi masthead","Keel stepped mast","No","3","0 °","Aluminum spars","178 ft²/T16.55 m²/T","346 ft²/T32.14 m²/T","1 inboard engine","","Diesel","Center cockpit","3  / 4","6  / 11","2","","40’ 1”12.22 m","18078 lb8200 kg","Lead","2242 ft²208.3 m²","","","","","","372","34 %","8.48 knots","396.3 gal1500 liters","","422.7 gal1600 liters","6’ 6”1.97 m","","","","47.6 gal180 liters","","","","77’ 1”23.5 m","1x19 strand wire","140 HP / 160 HP","","","","","","","64.7 gal245 liters","","","245 ft²22.8 m²","","","","","","","","","","","","","","","","","","5’ 8”1.75 m","5’ 5”1.65 m","","","166 ft²15.4 m²","","","","","","Nauticat","","","","","","","","","","","","","https://www.boat-specs.com/"
"Nauticat 525","Monohull","Offshore motorsailer","Nauticat Yachts","Siltala Design Office","Finland","GRP (glass reinforced polyester): Single skin  fiberglass polyester","2010","2018","Keel : semi-full keel","Twin helm wheels","Single semi-spade rudder","No","No","A","About 880 000 € (2017)","52’ 2”15.9 m","15’ 1”4.6 m","7’ 2”2.2 m","52911 lb24000 kg","1525 ft²141.7 m²","2918 ft²271.1 m²","464 ft²43.1 m²","846 ft²78.6 m²","","Ketch Marconi masthead","Keel stepped mast","No","3","0 °","Aluminum spars","183 ft²/T17.03 m²/T","351 ft²/T32.58 m²/T","1 inboard engine","150 HP","Diesel","Raised aft cockpit","3  / 4","6  / 8","","","40’12.2 m","19180 lb8700 kg","","2239 ft²208 m²","","","","","","374","36 %","8.48 knots","414.8 gal1570 liters","","435.9 gal1650 liters","6’ 6”1.97 m","","54’ 7”16.65 m","","47.6 gal180 liters","","","","77’ 1”23.5 m","1x19 strand wire","","","","","","","","64.7 gal245 liters","","","","","","","","","","","2  / 3","","","","","","215 ft²20 m²","2110 ft²196 m²","","","5’ 8”1.75 m","5’ 5”1.65 m","","","","","","","","","Nauticat","","","","","","","","","","","","","https://www.boat-specs.com/"
"Neel 47","Trimaran","Cruising trimaran","Neel Trimarans","Marc Lombard Yacht Design Group","France","Hull and deck: GRP (glass reinforced polyester)","2019","Still in production","Skegs : skeg on each hull","Single helm wheel","Single spade rudder","No","No","A","About 473 000 € (2020)","46’ 7”14.2 m","27’ 2”8.3 m","5’ 2”1.6 m","23369 lb10600 kg","1292 ft²120 m²","","753 ft²70 m²","538 ft²50 m²","","Sloop Marconi (square top mainsail) 7/8","Deck stepped mast","Yes","2","Swept-back (diamond)","Aluminum spars","268 ft²/T24.87 m²/T","","1 inboard engine","60 HP","Diesel","Open aft cockpit","3  / 5","6  / 8","3","","","","","","","","","","","","","","79.3 gal300 liters","","158.5 gal600 liters","","","46’ 7”14.2 m","","","","","","62’ 4”19 m","","","","","","","","","","","","","","","","215 ft²20 m²","","","2020: Cruising World - Boat of the Year: Full-Size Multihull2020: Multihull of the Year: From 40 to 50 feet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Neel 51","Trimaran","Offshore cruising trimaran","Neel Trimarans","Joubert Nivelt Design","France","GRP (glass reinforced polyester):  - Hull: Sandwich PVC fiberglass polyester  - Deck: Sandwich PVC fiberglass polyester","2017","Still in production","Skegs : skeg on each hull","Single helm wheel","Single spade rudder","No","No","A","About 710 000 € (2020)","51’ 2”15.6 m","29’ 2”8.9 m","5’ 11”1.8 m","30865 lb14000 kg","1846 ft²171.5 m²","","1044 ft²97 m²","802 ft²74.5 m²","","Sloop Marconi (square top mainsail) 7/8","Deck stepped mast","No","2","Swept-back (diamond)","Aluminum spars","318 ft²/T29.52 m²/T","","1 inboard engine","75 HP","Diesel","Aft cockpit","4  / 7","8  / 11","","","","","","","","","","","","","","","158.5 gal600 liters","","158.5 gal600 liters","","","","","","","","","76’ 5”23.3 m","","","","","","","","","","","","","","","","334 ft²31 m²","","","2018: European Yacht of the Year: Multihulls2018: Multihull of the Year: Over 50 feet2018: SAIL magazine - Best Large Multihull 51ft and Above","4  / 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Neo 350","Monohull","Racer-cruiser sailboat","Neo Yachts","Ceccarelli Yacht Desing and Engineering","Italy","Fiberglass reinforced epoxy: Sandwich  fiberglass epoxy (vacuum infusion)","2018","Still in production","Keel : T-shaped keel (with bulb)","Twin helm wheels","Single spade rudder","No","No","A","N/A €","35’ 5”10.8 m","12’3.65 m","6’ 11”2.09 m","9921 lb4500 kg","764 ft²71 m²","1722 ft²160 m²","431 ft²40 m²","","1292 ft²120 m²","Sloop Marconi 9/10","Keel stepped mast","No","2","Swept-back","Carbon fiber spars","280 ft²/T26.05 m²/T","632 ft²/T58.7 m²/T","1 inboard engine","20 HP","Diesel","Open aft cockpit","","4  / 8","1","","","3858 lb1750 kg","","1130 ft²105 m²","","","","","","","39 %","","15.9 gal60 liters","","39.6 gal150 liters","","","","2","","","","","","Single-strand (ROD) discontinuous","","","","","","","","","","","","334 ft²31 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Neo 400 Plus","Monohull","Cruiser-racer sailboat","Neo Yachts","Ceccarelli Yacht Desing and Engineering","Italy","Carbon fiber reinforced epoxy: Sandwich  carbon fiber epoxy (vacuum infusion)","2014","Still in production","Keel : T-shaped keel (with bulb)","Twin helm wheels","Single spade rudder","No","No","A","N/A €","41’ 8”12.7 m","13’ 1”3.99 m","8’ 11”2.7 m","11464 lb5200 kg","689 ft²64 m²","2476 ft²230 m²","646 ft²60 m²","","1830 ft²170 m²","Sloop Marconi (square top mainsail) 7/8","Deck stepped mast","No","2","Swept-back","Carbon fiber spars","229 ft²/T21.32 m²/T","825 ft²/T76.63 m²/T","1 inboard engine","30 HP","Diesel","Open aft cockpit","2  / 3","4  / 6","","Medium draft","37’ 8”11.5 m","5512 lb2500 kg","Steel fin with lead bulb","","52’ 6”16 m","16’ 11”5.15 m","53’ 6”16.3 m","17’ 1”5.2 m","","97","48 %","8.23 knots","26.4 gal100 liters","","52.8 gal200 liters","","","","","","","","","","","","","","","","","","","","","43 ft²4 m²","","","","","","","","1  / 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Neo 400 Plus","Monohull","Cruiser-racer sailboat","Neo Yachts","Ceccarelli Yacht Desing and Engineering","Italy","Carbon fiber reinforced epoxy: Sandwich  carbon fiber epoxy (vacuum infusion)","2014","Still in production","Lifting keel : fin with bulb, lifting","Twin helm wheels","Single spade rudder","No","No","A","N/A €","41’ 8”12.7 m","13’ 1”3.99 m","9’ 10”3 m","11464 lb5200 kg","689 ft²64 m²","2476 ft²230 m²","646 ft²60 m²","","1830 ft²170 m²","Sloop Marconi (square top mainsail) 7/8","Deck stepped mast","No","2","Swept-back","Carbon fiber spars","229 ft²/T21.32 m²/T","825 ft²/T76.63 m²/T","1 inboard engine","30 HP","Diesel","Open aft cockpit","2  / 3","4  / 6","","Lifting keel","37’ 8”11.5 m","5512 lb2500 kg","Steel fin with lead bulb","","52’ 6”16 m","16’ 11”5.15 m","53’ 6”16.3 m","17’ 1”5.2 m","","97","48 %","8.23 knots","26.4 gal100 liters","","52.8 gal200 liters","","","","","","","","","","","","","","","","","","","","","43 ft²4 m²","","","","","","","","1  / 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Neptune 625","Monohull","Cruiser-racer sailboat","SMAP Neptune","Groupe Fauroux","France","Hull and deck: GRP (glass reinforced polyester)","1977","1980","Keel : fin without bulb","Single tiller","Single transom hung rudder","No","No","","N/A €","20’ 6”6.25 m","9’ 2”2.8 m","4’ 4”1.3 m","1720 lb780 kg","248 ft²23 m²","418 ft²38.8 m²","122 ft²11.3 m²","126 ft²11.7 m²","","Sloop Marconi fractional","Deck stepped mast","No","1","No spreader","Aluminum spars","292 ft²/T27.14 m²/T","493 ft²/T45.79 m²/T","1 outboard engine","","Gas","Closed aft cockpit","","2  / 4","","","17’ 8”5.4 m","617 lb280 kg","Cast iron","296 ft²27.5 m²","21’6.4 m","7’ 11”2.41 m","22’ 10”6.95 m","9’2.75 m","","140","36 %","5.64 knots","","","","4’ 7”1.4 m","","","","","","","","","Continuous","2 HP / 4 HP","","","","","","","","","120","","91 ft²8.5 m²","","","","","","","","","4","","","","","","","","","","","","34 ft²3.2 m²","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Nordship 360 DS","Monohull","Deck saloon cruising sailboat","Nordship Yachts","Lars Buchwald & Borghegn Yachtdesign","Denmark","GRP (glass reinforced polyester): Sandwich  fiberglass polyester","2009","Still in production","Keel : T-shaped keel (with bulb)","Single helm wheel","Single spade rudder","No","No","A","About 296 000 € (2020)","36’ 1”11 m","11’ 10”3.6 m","5’ 11”1.8 m","14330 lb6500 kg","721 ft²67 m²","","398 ft²37 m²","","","Sloop Marconi 19/20","Deck stepped mast","No","2","Swept-back","Aluminum spars","207 ft²/T19.24 m²/T","","1 inboard engine","38 HP","Diesel","Closed aft cockpit","","4  / 6","1","","32’9.76 m","4850 lb2200 kg","Lead","","50’ 2”15.3 m","14’ 10”4.5 m","50’ 2”15.3 m","14’ 10”4.5 m","","198","34 %","7.58 knots","52.8 gal200 liters","","105.7 gal400 liters","","","","2","29.1 gal110 liters","","","","","Discontinuous","","","","","","","","26.4 gal100 liters","","","323 ft²30 m²","","","","","","","","","10.6 gal40 liters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Nordship 380 DS","Monohull","Deck saloon cruising sailboat","Nordship Yachts","Lars Buchwald & Borghegn Yachtdesign","Denmark","GRP (glass reinforced polyester): Sandwich  fiberglass polyester","2007","Still in production","Keel : L-shaped keel (with bulb)","Single helm wheel","Single spade rudder","No","No","A","About 383 000 € (2020)","38’ 1”11.6 m","12’ 4”3.75 m","5’ 11”1.8 m","19842 lb9000 kg","771 ft²71.6 m²","","465 ft²43.2 m²","","","Sloop Marconi 9/10","Deck stepped mast","No","2","Swept-back","Aluminum spars","178 ft²/T16.55 m²/T","","1 inboard engine","55 HP","Diesel","Closed aft cockpit","","4  / 6","1","","33’ 10”10.3 m","7055 lb3200 kg","Lead","","","","","","","233","36 %","7.79 knots","76.6 gal290 liters","","99.3 gal376 liters","","","","2","29.1 gal110 liters","","","","","Discontinuous","","","","","","","","21.1 gal80 liters","","","306 ft²28.4 m²","","","","","","","","","10 gal38 liters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Nordship 40 DS","Monohull","Deck saloon cruising sailboat","Nordship Yachts","Lars Buchwald & Borghegn Yachtdesign","Denmark","GRP (glass reinforced polyester): Sandwich  fiberglass polyester with galvanized steel frame","2005","Still in production","Keel : L-shaped keel (with bulb)","Single helm wheel","Single spade rudder","No","No","A","About 426 000 € (2020)","40’12.2 m","13’ 6”4.1 m","5’ 11”1.8 m","23149 lb10500 kg","939 ft²87.2 m²","","532 ft²49.4 m²","","","Sloop Marconi 19/20","Deck stepped mast","No","2","Swept-back","Aluminum spars","196 ft²/T18.19 m²/T","","1 inboard engine","55 HP","Diesel","Center cockpit","2  / 3","4  / 7","2","","35’ 5”10.8 m","8378 lb3800 kg","Lead","","","","","","","236","36 %","7.98 knots","100.4 gal380 liters","","132.1 gal500 liters","","","42’ 4”12.9 m","","29.1 gal110 liters","","","","","Discontinuous","","","","","","","","23.8 gal90 liters","","","407 ft²37.8 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Nordship 430 DS","Monohull","Deck saloon cruising sailboat","Nordship Yachts","Lars Buchwald & Borghegn Yachtdesign","Denmark","GRP (glass reinforced polyester): Sandwich  fiberglass polyester","2011","Still in production","Keel : L-shaped keel (with bulb)","Single helm wheel","Single spade rudder","No","No","A","About 493 000 € (2020)","43’ 6”13.25 m","13’ 6”4.1 m","5’ 11”1.8 m","31019 lb14070 kg","939 ft²87.2 m²","","532 ft²49.4 m²","","","Sloop Marconi 19/20","Deck stepped mast","No","2","Swept-back","Aluminum spars","161 ft²/T14.96 m²/T","","1 inboard engine","","Diesel","Center cockpit","","6  / 8","2","","37’ 1”11.3 m","10362 lb4700 kg","Lead","","","","","","","276","33 %","8.16 knots","100.4 gal380 liters","","132.1 gal500 liters","","","","3","29.1 gal110 liters","","","","","Discontinuous","55 HP / 75 HP","","","","","","","23.8 gal90 liters","","","407 ft²37.8 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Nordship 430 DS","Monohull","Deck saloon cruising sailboat","Nordship Yachts","Lars Buchwald & Borghegn Yachtdesign","Denmark","GRP (glass reinforced polyester): Sandwich  fiberglass polyester","2011","Still in production","Lifting keel : retractable L-shaped keel (with bulb)","Single helm wheel","Twin spade rudders","No","No","","About 550 000 € (2020)","43’ 6”13.25 m","13’ 6”4.1 m","6’ 7”2 m","31019 lb14070 kg","939 ft²87.2 m²","","532 ft²49.4 m²","","","Sloop Marconi 19/20","Deck stepped mast","No","2","Swept-back","Aluminum spars","161 ft²/T14.96 m²/T","","1 inboard engine","","","Center cockpit","","6  / 8","2","Lifting keel","37’ 1”11.3 m","10362 lb4700 kg","Lead","","","","","","","276","33 %","8.16 knots","100.4 gal380 liters","","132.1 gal500 liters","","4’ 4”1.3 m","","3","29.1 gal110 liters","","","","","Discontinuous","","","","","","","","23.8 gal90 liters","","","407 ft²37.8 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Nordship 46 DS Custom","Monohull","Deck saloon cruising sailboat","Nordship Yachts","Lars Buchwald & Borghegn Yachtdesign","Denmark","GRP (glass reinforced polyester): Sandwich  fiberglass polyester","2012","Still in production","Keel : fin with bulb","Single helm wheel","Single spade rudder","No","No","A","About 715 000 € (2020)","45’ 11”14 m","14’ 5”4.4 m","6’ 11”2.1 m","33069 lb15000 kg","1055 ft²98 m²","","624 ft²58 m²","","","Sloop Marconi fractional","Deck stepped mast","No","2","Swept-back","Aluminum spars","173 ft²/T16.11 m²/T","","1 inboard engine","","Diesel","Center cockpit","2  / 3","4  / 8","2","","","11905 lb5400 kg","Lead","","","","","","","","36 %","","","","","","","","","","","","","","Discontinuous","","","","","","","","","","","431 ft²40 m²","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"NYYC 42","Monohull","Racer-cruiser sailboat","Nautor's Swan","Frers  Naval Architecture & Engineering","Finland","GRP (glass reinforced polyester): Single skin bottom, sandwich sides and deck:  fiberglass vinylester with carbon fiber reinforcements","2006","2013","Keel : fin with bulb","Twin helm wheels","Single spade rudder","No","No","","N/A €","42’ 7”12.98 m","12’ 11”3.93 m","8’ 11”2.7 m","15984 lb7250 kg","1175 ft²109.2 m²","2652 ft²246.4 m²","661 ft²61.4 m²","515 ft²47.8 m²","1991 ft²185 m²","Sloop Marconi 9/10","Keel stepped mast","No","2","Swept-back","Carbon fiber mast and aluminum boom","314 ft²/T29.15 m²/T","708 ft²/T65.78 m²/T","1 inboard engine","39 HP","Diesel","Open aft cockpit","","","","","38’ 10”11.84 m","7055 lb3200 kg","Lead","","59’ 1”18 m","16’ 5”5.01 m","56’ 7”17.24 m","18’ 11”5.77 m","35.0","124","44 %","8.35 knots","37 gal140 liters","","84.5 gal320 liters","","","","","27.7 gal105 liters","","","","","","","","","","","","","14.5 gal55 liters","ISAF","57","","","","","","","","","","5.3 gal20 liters","","","","","","","","","","","","","","","","","","","","","","850 kg max.","","","","","","","","","","https://www.boat-specs.com/"
